,Area Code,Total population,    AGE,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over
0,19102,"5,946",,0,33,59,147,626,"1,969",897,721,118,162,263,92,226,177,189,71,122,74
1,19103,"25,602",,449,390,296,439,"2,079","5,173","3,734","1,725",917,762,"1,388","1,413","1,202","1,378","1,243","1,052",912,"1,050"
2,19104,"54,454",,"1,652","2,397","1,902","10,886","12,690","6,346","4,382","2,246","2,086","1,467","1,423","1,522","1,322","1,333","1,324",496,478,502
3,19106,"14,421",,319,97,162,52,899,"2,520","1,951","1,203",739,"1,132",642,678,541,948,796,846,350,546
4,19107,"15,478",,71,318,268,692,"2,337","3,518","2,342","1,374",495,495,558,847,420,369,376,328,360,310
5,19108,162,,18,0,0,0,0,39,0,44,49,0,0,0,12,0,0,0,0,0
6,19109,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19111,"65,821",,"4,501","4,101","4,656","4,386","3,111","3,707","5,684","4,820","4,091","4,377","3,024","3,646","4,060","4,034","3,044","2,128","1,082","1,369"
8,19112,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19113,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19114,"31,071",,"1,756","1,699","2,020","1,155","1,431","2,173","2,321","2,323","1,977","1,849","1,484","2,447","2,337","2,279","1,536","1,061",630,593
11,19115,"34,737",,"2,273","1,647","1,705","1,341","1,659","2,062","2,338","2,402","2,034","1,430","2,319","1,937","2,570","2,781","2,115","1,859","1,163","1,102"
12,19116,"33,421",,"1,896","1,810","1,830","1,601",996,"1,579","2,088","2,230","1,964","2,453","2,672","2,559","2,292","2,024","1,723","1,734","1,065",905
13,19118,"10,231",,475,330,472,631,641,561,510,584,484,914,639,698,707,852,649,521,231,332
14,19119,"28,566",,"1,693","1,674","1,602","1,340","1,256","1,283","2,178","2,264","2,147","1,958","1,947","1,737","2,023","1,312","1,598","1,142",788,624
15,19120,"68,078",,"5,867","5,721","5,176","4,426","4,069","4,578","4,217","3,772","4,548","3,651","4,199","4,695","4,102","3,855","2,631","1,273",819,479
16,19121,"40,324",,"2,773","2,760","2,457","4,273","6,059","3,419","4,277","2,558","1,419","1,773","1,413","1,471","1,928","1,422",947,501,394,480
