,Area Code,Less than high school graduate,High school graduate,Some college or associate's degree,Bachelor's degree or higher
0,19104,2765,55149,19372,26681
1,19106,609,25857,1148,21147
2,19107,934,23392,2122,18438
3,19108,0,288,20,248
4,19109,0,0,0,0
5,19111,7035,95970,12385,22923
6,19112,0,0,0,0
7,19113,0,0,0,0
8,19114,2153,50630,6510,14212
9,19115,2232,57087,6902,19842
10,19116,2564,54408,6022,18578
11,19118,174,16012,1535,11892
12,19119,1196,44876,5177,23379
13,19120,11009,84459,13509,11632
14,19121,3858,47287,9529,12191
15,19122,1990,30582,6768,12387
16,19123,1181,31715,2474,21067
17,19124,9754,90330,11503,13368
18,19125,1314,41874,3362,26357
19,19126,1487,27318,4658,6750
20,19127,118,9456,911,7595
21,19128,1529,61677,7125,33776
22,19129,446,19763,2194,11306
23,19130,612,51235,3465,40799
24,19131,2952,66558,11723,18471
25,19132,4287,45996,6917,5912
26,19133,6552,27216,4398,2606
27,19134,9961,69485,8842,12985
28,19135,4316,44515,6772,7067
29,19136,3633,51144,7444,11377
30,19137,752,12164,1289,2757
31,19138,2774,47148,7746,7871
32,19139,4687,63196,10612,13551
33,19140,11060,68338,9434,6833
34,19141,3561,51441,8526,7899
35,19142,3765,40849,6567,5063
36,19143,4206,93391,13385,27607
37,19144,3949,68788,11346,23552
38,19145,3739,69513,7959,24104
39,19146,2283,62899,5537,41535
40,19147,2200,60438,4433,42914
41,19148,5939,75074,7302,30269
42,19149,9810,72103,9750,11645
43,19150,1937,38034,5641,10152
44,19151,1648,47632,8922,12487
45,19152,3472,56466,6175,14798
46,19153,975,19406,2811,5117
47,19154,2551,53095,7382,13223
