,Area Code,Population 16 years and over with earnings,    Median earnings (dollars),"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","        $1 to $9,999 or loss","        $10,000 to $14,999","        $15,000 to $24,999","        $25,000 to $34,999","        $35,000 to $49,999","        $50,000 to $64,999","        $65,000 to $74,999","        $75,000 to $99,999","        $100,000 or more"
0,19102,"4,923","79,552","3,532",0,33,15,27,260,584,223,632,"1,758"
1,19103,"18,122","76,680","12,778",46,96,167,507,913,"1,595","1,432","1,943","6,079"
2,19104,"32,218","18,420","12,543",396,444,777,"1,838","2,636","2,172",959,"1,523","1,798"
3,19106,"9,941","93,953","7,864",52,60,158,79,472,534,526,"2,026","3,957"
4,19107,"11,510","57,694","7,034",8,81,250,406,717,946,833,"1,512","2,281"
5,19108,124,-,124,0,0,0,0,0,0,12,63,49
6,19109,0,-,0,0,0,0,0,0,0,0,0,0
7,19111,"32,871","39,065","21,397",370,620,"2,225","2,131","4,713","4,165","1,823","2,728","2,622"
8,19112,0,-,0,0,0,0,0,0,0,0,0,0
9,19113,0,-,0,0,0,0,0,0,0,0,0,0
10,19114,"17,175","48,257","11,870",262,354,553,710,"2,524","1,679","1,598","1,949","2,241"
11,19115,"18,446","48,949","12,252",238,213,591,986,"2,348","1,862","1,284","1,856","2,874"
12,19116,"16,567","43,817","10,703",181,332,553,"1,194","1,704","1,986",908,"1,805","2,040"
13,19118,"5,915","65,197","3,808",55,47,162,107,413,371,372,513,"1,768"
14,19119,"16,040","54,598","11,003",213,160,460,676,"1,774","1,625",766,"2,166","3,163"
15,19120,"31,600","32,980","19,671",624,673,"2,141","3,047","4,850","3,615","1,707","1,729","1,285"
16,19121,"20,264","29,915","10,329",331,401,"1,112","1,478","1,980","1,879",664,"1,195","1,289"
17,19122,"14,699","31,871","7,662",365,23,301,664,"1,115","1,486",616,"1,002","2,090"
18,19123,"13,308","73,760","9,747",159,205,507,312,798,860,"1,182","2,147","3,577"
19,19124,"30,964","35,364","18,936",248,362,"1,604","3,501","5,055","3,326","1,051","1,971","1,818"
20,19125,"18,564","62,656","13,390",136,170,504,547,"1,440","2,430","1,291","2,616","4,256"
21,19126,"8,433","40,610","5,671",90,57,455,574,"1,701",751,524,"1,078",441
22,19127,"4,628","73,061","3,486",33,40,62,72,360,308,532,"1,079","1,000"
23,19128,"24,047","64,861","17,770",163,391,278,"1,140","2,305","2,400","2,100","4,619","4,374"
24,19129,"7,172","58,576","4,551",33,25,177,312,462,664,203,"1,291","1,384"
25,19130,"22,295","76,051","16,819",161,183,151,678,"1,305","2,484","1,460","3,838","6,559"
26,19131,"20,084","40,052","13,127",378,208,968,"1,794","3,417","1,984",911,"1,669","1,798"
27,19132,"12,767","30,300","7,089",107,96,738,"1,528","1,358","1,450",447,734,631
28,19133,"9,615","26,563","5,843",277,345,731,"1,163","1,693",624,444,186,380
29,19134,"23,071","35,858","14,816",335,509,"1,358","1,920","3,793","2,090","1,219","1,859","1,733"
30,19135,"15,801","38,673","9,351",189,180,554,"1,212","2,459","1,699",554,"1,440","1,064"
31,19136,"17,806","40,495","10,627",48,124,632,"1,026","2,286","2,103","1,039","2,121","1,248"
32,19137,"3,746","46,109","2,626",11,45,233,180,564,563,239,360,431
33,19138,"15,145","36,956","9,807",119,152,769,"1,533","3,307","1,622",537,"1,081",687
34,19139,"21,185","34,796","13,238",403,305,"1,278","1,991","3,726","2,201","1,025","1,311",998
35,19140,"19,891","31,508","11,681",235,578,"1,168","3,008","2,575","1,898",845,901,473
36,19141,"15,869","34,464","9,211",208,335,601,"1,560","2,177","1,813","1,007",986,524
37,19142,"14,912","32,763","9,538",333,424,"1,173","1,517","2,694","1,395",521,937,544
38,19143,"31,285","38,189","19,506",463,424,"1,295","2,646","4,765","2,813","1,939","2,423","2,738"
39,19144,"24,244","36,020","14,902",785,296,"1,073","1,796","3,575","1,976",865,"2,188","2,348"
40,19145,"24,242","45,940","17,108",374,447,955,"1,554","3,602","3,062","1,949","2,381","2,784"
41,19146,"27,576","68,849","19,731",204,94,646,"1,157","2,050","2,509","1,537","3,754","7,780"
42,19147,"25,675","71,905","18,326",199,170,540,932,"1,910","1,980","1,955","3,219","7,421"
43,19148,"28,194","50,067","19,628",281,345,"1,283","1,644","3,645","3,096","1,903","3,083","4,348"
44,19149,"28,138","33,111","17,899",493,605,"2,027","3,254","4,569","3,128",934,"1,544","1,345"
45,19150,"12,465","43,002","8,443",16,373,444,891,"1,678","1,860",676,"1,433","1,072"
46,19151,"16,968","42,504","11,528",167,317,512,"1,570","3,140","1,773",912,"1,703","1,434"
47,19152,"17,195","40,428","11,005",422,352,588,"1,045","2,679","1,810",995,"1,495","1,619"
48,19153,"5,767","36,167","3,478",75,154,216,442,522,737,503,480,349
49,19154,"17,857","50,969","12,364",131,187,606,927,"2,226","1,586","1,197","2,873","2,631"
