date,0,1,2,3,4,5,6,7,8,9
2020-01,450,765,1299,784,501,728,684,643,1157,319
2020-02,458,701,1202,712,542,659,725,616,1121,326
2020-03,280,457,805,364,372,431,374,414,702,308
2020-04,73,102,310,65,272,296,73,161,312,161
2020-05,119,109,393,118,361,401,113,219,465,190
2020-06,161,115,426,109,371,421,157,288,487,177
2020-07,245,165,555,186,468,453,256,546,612,333
2020-08,275,282,686,281,476,473,290,550,738,308
2020-09,224,288,745,411,481,561,361,501,708,281
2020-10,251,286,805,344,434,491,333,539,729,298
2020-11,244,241,745,279,302,376,234,366,686,243
2020-12,248,210,578,204,352,354,143,389,564,272
2021-01,234,160,629,218,346,377,171,426,667,271
2021-02,186,154,598,230,313,362,206,340,605,217
2021-03,285,279,761,282,382,430,306,515,726,250
2021-04,271,262,745,306,380,480,353,440,660,268
2021-05,333,338,742,413,439,481,446,505,744,230
2021-06,341,405,789,385,437,485,418,474,740,240
2021-07,378,472,839,434,502,552,534,492,880,268
2021-08,402,439,765,408,521,528,526,504,828,282
2021-09,322,419,730,440,483,488,485,440,695,213
2021-10,323,445,786,407,404,509,420,363,807,222
2021-11,278,351,668,344,375,386,414,318,664,203
2021-12,326,378,735,318,395,446,389,339,759,242
2022-01,177,221,431,234,248,269,195,221,432,157
